target,listing_type,kitchen_type,building_condition,postcode,tenement_building,double_glazing,furnished,bathroom,m2,bedrooms,number_bedrooms
780,Apartment,Installed,Good,1190,No,Yes,Unknown,1.0,128,10,1
1350,Apartment,Installed,Good,1180,No,No,No,1.0,90,16,2
1280,Apartment,Hyper equipped,Good,1040,No,Yes,Unknown,1.0,90,16,2
1100,Apartment,Installed,Good,,No,Yes,No,1.0,75,10,2
1040,Apartment,Hyper equipped,Good,1060,No,No,Yes,1.0,70,14,1
2700,Other,Not installed,Renovated,1050,No,Yes,Yes,3.0,270,10,3
1200,Apartment,Hyper equipped,Renovated,1040,No,Yes,Yes,1.0,50,10,1
1450,Apartment,Hyper equipped,Renovated,1040,No,Yes,Yes,1.0,60,10,2
905,Apartment,Not installed,Renovated,,No,Yes,No,1.0,97,18,2
1030,Apartment,Installed,Renovated,1030,No,Yes,No,1.0,60,14,1
1080,Apartment,Hyper equipped,Renovated,,No,Yes,No,1.0,52,14,1
730,Other,Installed,Good,1070,No,Yes,No,1.0,40,15,1
1475,Apartment,Hyper equipped,Renovated,1050,No,Yes,No,2.0,90,10,2
1250,Apartment,Hyper equipped,Renovated,1000,No,Yes,No,1.0,90,10,1
980,Apartment,Not installed,Renovated,1000,No,Yes,No,1.0,70,10,1
1570,Apartment,Hyper equipped,Renovated,,No,Yes,Unknown,2.0,122,19,2
950,Other,Installed,Renovated,1190,No,Yes,Yes,1.0,45,20,1
1950,Other,Hyper equipped,Renovated,1190,No,Yes,Yes,1.0,110,16,2
750,Apartment,Installed,Renovated,1190,No,Yes,Unknown,1.0,54,14,1
1550,Other,Installed,Good,1200,No,No,Yes,2.0,120,10,2
3300,Other,Hyper equipped,Renovated,1170,No,Yes,No,3.0,160,16,3
1400,Other,Installed,Good,1060,No,No,Yes,1.0,80,10,1
1040,Apartment,Installed,Renovated,1200,No,No,Unknown,1.0,67,10,1
830,Apartment,Hyper equipped,Renovated,1060,No,Yes,Unknown,1.0,50,10,1
970,Apartment,Hyper equipped,Renovated,,No,Yes,Unknown,2.0,128,10,1
2650,Apartment,Hyper equipped,Good,1180,No,Yes,Yes,2.0,140,20,3
1650,Apartment,Hyper equipped,Renovated,1140,No,Yes,Yes,1.0,80,14,2
815,Apartment,Installed,Good,1000,No,Yes,Yes,1.0,45,10,1
1030,Apartment,Hyper equipped,Renovated,1050,No,Yes,No,1.0,70,12,2
1150,Other,Hyper equipped,Good,1000,No,Yes,Unknown,1.0,65,20,1
1195,Apartment,Installed,Good,1180,No,No,No,1.0,100,10,2
660,Apartment,Installed,Good,1140,No,No,No,1.0,45,10,1
1100,Apartment,Installed,Good,1000,No,Yes,Yes,1.0,70,15,1
2100,Apartment,Not installed,Good,1000,No,Yes,Unknown,1.0,129,19,2
555,Other,Not installed,Good,,No,No,Yes,1.0,128,12,1
3200,Other,Hyper equipped,Renovated,1000,No,Yes,Yes,2.0,166,10,3
3200,Apartment,Hyper equipped,Renovated,1000,No,Yes,Yes,2.0,166,10,3
650,Apartment,Not installed,Good,1083,No,No,Unknown,0.0,128,10,1
880,Apartment,Installed,Good,1070,No,Yes,No,1.0,68,15,1
1430,Apartment,Installed,Good,1050,No,No,No,1.0,70,15,2
2630,Apartment,Hyper equipped,Good,1180,No,Yes,Unknown,2.0,145,10,2
975,Apartment,Hyper equipped,Renovated,1200,No,Yes,Unknown,1.0,75,13,2
970,Other,Semi equipped,Renovated,1000,No,Yes,Unknown,2.0,80,20,2
1540,Other,Hyper equipped,Renovated,1200,No,Yes,No,1.0,115,10,2
935,Apartment,Hyper equipped,Good,1140,No,Yes,No,1.0,71,10,1
1740,Apartment,Not installed,Renovated,1040,No,Yes,Yes,1.0,130,15,2
570,Other,Not installed,Good,1210,No,Yes,Unknown,1.0,65,10,2
1345,Apartment,Installed,Renovated,1050,No,Yes,No,1.0,100,17,2
990,Apartment,Hyper equipped,Renovated,,No,Yes,No,1.0,66,10,1
890,Apartment,Installed,Good,,No,No,No,1.0,63,10,1
1380,Apartment,Installed,Good,1040,No,Yes,Yes,2.0,64,10,1
835,Apartment,Hyper equipped,Renovated,1190,No,Yes,Yes,1.0,80,10,2
930,Apartment,Installed,Good,1050,No,Yes,Unknown,1.0,128,10,1
925,Other,Not installed,Good,1180,No,Yes,No,1.0,60,10,1
1540,Other,Hyper equipped,Renovated,1050,No,Yes,Unknown,2.0,90,10,2
1100,Apartment,Not installed,Good,,No,No,Unknown,1.0,128,10,1
992,Apartment,Not installed,Renovated,1070,No,No,Unknown,1.0,70,10,1
2225,Other,Not installed,Renovated,1050,No,Yes,No,2.0,150,25,2
870,Apartment,Installed,Renovated,1070,No,Yes,Unknown,1.0,80,10,1
1250,Apartment,Installed,Good,1060,No,Yes,No,1.0,89,14,2
935,Other,Not installed,Renovated,,No,Yes,Yes,1.0,36,10,1
850,Other,Not installed,Good,1090,No,No,Unknown,1.0,128,10,1
830,Apartment,Hyper equipped,Renovated,1200,No,Yes,Unknown,1.0,59,13,1
2250,Other,Hyper equipped,Renovated,1050,No,Yes,Yes,2.0,76,14,3
1735,Apartment,Hyper equipped,Good,1050,No,Yes,Unknown,1.0,100,10,2
2425,Apartment,Installed,Good,1180,No,Yes,No,2.0,110,10,2
1035,Apartment,Installed,Renovated,1050,No,Yes,No,1.0,60,12,2
1675,Apartment,Not installed,Good,1050,No,Yes,No,1.0,155,10,2
