target,listing_type,kitchen_type,building_condition,postcode,double_glazing,bathroom,m2,number_bedrooms
780,Apartment,Installed,Good,1190,Yes,1.0,128,1
1350,Apartment,Installed,Good,1180,No,1.0,90,2
1280,Apartment,Hyper equipped,Good,1040,Yes,1.0,90,2
1100,Apartment,Installed,Good,,Yes,1.0,75,2
1040,Apartment,Hyper equipped,Good,1060,No,1.0,70,1
2700,Other,Not installed,Renovated,1050,Yes,3.0,270,3
1200,Apartment,Hyper equipped,Renovated,1040,Yes,1.0,50,1
1450,Apartment,Hyper equipped,Renovated,1040,Yes,1.0,60,2
905,Apartment,Not installed,Renovated,,Yes,1.0,97,2
1030,Apartment,Installed,Renovated,1030,Yes,1.0,60,1
1080,Apartment,Hyper equipped,Renovated,,Yes,1.0,52,1
730,Other,Installed,Good,1070,Yes,1.0,40,1
1475,Apartment,Hyper equipped,Renovated,1050,Yes,2.0,90,2
1250,Apartment,Hyper equipped,Renovated,1000,Yes,1.0,90,1
980,Apartment,Not installed,Renovated,1000,Yes,1.0,70,1
1570,Apartment,Hyper equipped,Renovated,,Yes,2.0,122,2
950,Other,Installed,Renovated,1190,Yes,1.0,45,1
1950,Other,Hyper equipped,Renovated,1190,Yes,1.0,110,2
750,Apartment,Installed,Renovated,1190,Yes,1.0,54,1
1550,Other,Installed,Good,1200,No,2.0,120,2
3300,Other,Hyper equipped,Renovated,1170,Yes,3.0,160,3
1400,Other,Installed,Good,1060,No,1.0,80,1
1040,Apartment,Installed,Renovated,1200,No,1.0,67,1
830,Apartment,Hyper equipped,Renovated,1060,Yes,1.0,50,1
970,Apartment,Hyper equipped,Renovated,,Yes,2.0,128,1
2650,Apartment,Hyper equipped,Good,1180,Yes,2.0,140,3
1650,Apartment,Hyper equipped,Renovated,1140,Yes,1.0,80,2
815,Apartment,Installed,Good,1000,Yes,1.0,45,1
1030,Apartment,Hyper equipped,Renovated,1050,Yes,1.0,70,2
1150,Other,Hyper equipped,Good,1000,Yes,1.0,65,1
1195,Apartment,Installed,Good,1180,No,1.0,100,2
660,Apartment,Installed,Good,1140,No,1.0,45,1
1100,Apartment,Installed,Good,1000,Yes,1.0,70,1
2100,Apartment,Not installed,Good,1000,Yes,1.0,129,2
555,Other,Not installed,Good,,No,1.0,128,1
3200,Other,Hyper equipped,Renovated,1000,Yes,2.0,166,3
3200,Apartment,Hyper equipped,Renovated,1000,Yes,2.0,166,3
650,Apartment,Not installed,Good,1083,No,0.0,128,1
880,Apartment,Installed,Good,1070,Yes,1.0,68,1
1430,Apartment,Installed,Good,1050,No,1.0,70,2
2630,Apartment,Hyper equipped,Good,1180,Yes,2.0,145,2
975,Apartment,Hyper equipped,Renovated,1200,Yes,1.0,75,2
970,Other,Semi equipped,Renovated,1000,Yes,2.0,80,2
1540,Other,Hyper equipped,Renovated,1200,Yes,1.0,115,2
935,Apartment,Hyper equipped,Good,1140,Yes,1.0,71,1
1740,Apartment,Not installed,Renovated,1040,Yes,1.0,130,2
570,Other,Not installed,Good,1210,Yes,1.0,65,2
1345,Apartment,Installed,Renovated,1050,Yes,1.0,100,2
990,Apartment,Hyper equipped,Renovated,,Yes,1.0,66,1
890,Apartment,Installed,Good,,No,1.0,63,1
1380,Apartment,Installed,Good,1040,Yes,2.0,64,1
835,Apartment,Hyper equipped,Renovated,1190,Yes,1.0,80,2
930,Apartment,Installed,Good,1050,Yes,1.0,128,1
925,Other,Not installed,Good,1180,Yes,1.0,60,1
1540,Other,Hyper equipped,Renovated,1050,Yes,2.0,90,2
1100,Apartment,Not installed,Good,,No,1.0,128,1
992,Apartment,Not installed,Renovated,1070,No,1.0,70,1
2225,Other,Not installed,Renovated,1050,Yes,2.0,150,2
