target,kitchen_type,building_condition,postcode,tenement_building,double_glazing,furnished,bathroom,m2,bedrooms,number_bedrooms,Municipality
780,Installed,Good,1190,No,Yes,Unknown,1,128,10,1,Forest
1350,Installed,Good,1180,No,No,No,1,90,16,2,Uccle
1280,Hyper equipped,Good,1040,No,Yes,Unknown,1,90,16,2,Etterbeek
1040,Hyper equipped,Good,1060,No,No,Yes,1,70,14,1,Saint-Gilles
2700,Not installed,Renovated,1050,No,Yes,Yes,3,270,10,3,Ixelles
1200,Hyper equipped,Renovated,1040,No,Yes,Yes,1,50,10,1,Etterbeek
1450,Hyper equipped,Renovated,1040,No,Yes,Yes,1,60,10,2,Etterbeek
1030,Installed,Renovated,1030,No,Yes,No,1,60,14,1,Schaerbeek
730,Installed,Good,1070,No,Yes,No,1,40,15,1,Anderlecht
1475,Hyper equipped,Renovated,1050,No,Yes,No,2,90,10,2,Ixelles
1250,Hyper equipped,Renovated,1000,No,Yes,No,1,90,10,1,Brussels City
980,Not installed,Renovated,1000,No,Yes,No,1,70,10,1,Brussels City
950,Installed,Renovated,1190,No,Yes,Yes,1,45,20,1,Forest
1950,Hyper equipped,Renovated,1190,No,Yes,Yes,1,110,16,2,Forest
750,Installed,Renovated,1190,No,Yes,Unknown,1,54,14,1,Forest
1550,Installed,Good,1200,No,No,Yes,2,120,10,2,Woluwe-Saint-Lambert
3300,Hyper equipped,Renovated,1170,No,Yes,No,3,160,16,3,Watermael-Boitsfort
1400,Installed,Good,1060,No,No,Yes,1,80,10,1,Saint-Gilles
1040,Installed,Renovated,1200,No,No,Unknown,1,67,10,1,Woluwe-Saint-Lambert
830,Hyper equipped,Renovated,1060,No,Yes,Unknown,1,50,10,1,Saint-Gilles
2650,Hyper equipped,Good,1180,No,Yes,Yes,2,140,20,3,Uccle
1650,Hyper equipped,Renovated,1140,No,Yes,Yes,1,80,14,2,Evere
815,Installed,Good,1000,No,Yes,Yes,1,45,10,1,Brussels City
1030,Hyper equipped,Renovated,1050,No,Yes,No,1,70,12,2,Ixelles
